frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m,source_video
1081,1081,112.02,29.76,Clear,91.33,0.34,part1_grapevine
1086,1086,110.76,33.91,Clear,51.79,5.512,part1_grapevine
1091,1091,108.34,36.66,Clear,28.2,1.966,part1_grapevine
1096,1096,100.11,43.48,Clear,31.61,0.193,part1_grapevine
1101,1101,104.98,41.73,Clear,79.65,4.111,part1_grapevine
1106,1106,108.65,34.67,Clear,35.35,4.591,part1_grapevine
1111,1111,113.3,25.84,Moderate Fog/Overcast,117.64,1.097,part1_grapevine
1116,1116,112.45,26.12,Moderate Fog/Overcast,71.05,-8.274,part1_grapevine
1121,1121,112.13,26.66,Moderate Fog/Overcast,763.0,-2.95,part1_grapevine
1126,1126,114.12,25.62,Moderate Fog/Overcast,26.39,-3.63,part1_grapevine
1131,1131,112.04,40.53,Clear,43.17,-0.272,part1_grapevine
1136,1136,110.71,41.92,Clear,41.49,-7.983,part1_grapevine
1141,1141,111.28,31.17,Clear,30.67,1.82,part1_grapevine
1146,1146,112.14,30.36,Clear,89.27,13.608,part1_grapevine
1151,1151,111.07,33.26,Clear,63.95,7.083,part1_grapevine
1156,1156,103.11,40.3,Clear,91.26,9.636,part1_grapevine
1161,1161,114.99,30.14,Clear,52.51,4.008,part1_grapevine
1166,1166,107.46,36.12,Clear,113.64,12.062,part1_grapevine
1171,1171,103.99,42.77,Clear,57.05,4.305,part1_grapevine
1176,1176,111.77,31.13,Clear,25.6,1.633,part1_grapevine
1181,1181,113.05,32.42,Clear,234.51,-0.729,part1_grapevine
1186,1186,106.34,38.67,Clear,56.31,8.462,part1_grapevine
1191,1191,106.93,36.82,Clear,61.25,8.539,part1_grapevine
1196,1196,97.58,44.99,Clear,37.24,7.175,part1_grapevine
1201,1201,112.93,28.42,Clear,74.25,11.183,part1_grapevine
1206,1206,111.44,30.35,Clear,42.29,7.487,part1_grapevine
1211,1211,112.08,31.37,Clear,90.88,13.834,part1_grapevine
1216,1216,110.31,30.21,Clear,29.6,5.938,part1_grapevine
1221,1221,108.52,36.62,Clear,76.75,11.294,part1_grapevine
1226,1226,104.72,47.61,Clear,36.33,4.216,part1_grapevine
1231,1231,52.68,59.71,Clear,40.25,6.48,part1_grapevine
1236,1236,107.87,42.54,Clear,49.45,7.358,part1_grapevine
1241,1241,102.98,36.25,Clear,42.71,4.301,part1_grapevine
1246,1246,112.92,41.1,Clear,34.68,3.715,part1_grapevine
1251,1251,114.19,32.3,Clear,61.75,7.322,part1_grapevine
1256,1256,119.19,33.18,Clear,85.98,4.14,part1_grapevine
1261,1261,115.51,38.44,Clear,85.07,-2.09,part1_grapevine
1266,1266,121.49,27.79,Moderate Fog/Overcast,143.5,1.047,part1_grapevine
1271,1271,116.4,30.02,Clear,113.4,15.844,part1_grapevine
1276,1276,114.83,24.49,Moderate Fog/Overcast,47.45,-4.533,part1_grapevine
1281,1281,107.16,39.15,Clear,44.82,4.042,part1_grapevine
1286,1286,113.35,25.7,Moderate Fog/Overcast,50.97,4.15,part1_grapevine
1291,1291,111.94,31.5,Clear,27.06,0.816,part1_grapevine
1296,1296,113.25,32.12,Clear,33.85,6.263,part1_grapevine
1301,1301,111.54,32.39,Clear,40.13,-1.547,part1_grapevine
1306,1306,106.2,39.88,Clear,155.85,-8.773,part1_grapevine
1311,1311,102.0,46.18,Clear,217.09,13.537,part1_grapevine
1316,1316,106.76,40.09,Clear,171.97,15.128,part1_grapevine
1321,1321,103.84,49.09,Clear,102.59,12.878,part1_grapevine
1326,1326,110.05,26.89,Moderate Fog/Overcast,51.85,6.205,part1_grapevine
1331,1331,111.6,27.86,Moderate Fog/Overcast,100.61,-6.915,part1_grapevine
1336,1336,111.55,30.65,Clear,29.07,-2.877,part1_grapevine
1341,1341,116.76,27.99,Moderate Fog/Overcast,42.45,-3.937,part1_grapevine
1346,1346,115.73,26.7,Moderate Fog/Overcast,31.26,0.003,part1_grapevine
1351,1351,115.6,20.87,Moderate Fog/Overcast,41.55,4.739,part1_grapevine
1356,1356,111.75,30.26,Clear,28.49,3.412,part1_grapevine
1361,1361,115.27,23.23,Moderate Fog/Overcast,69.53,3.374,part1_grapevine
1366,1366,113.63,22.28,Moderate Fog/Overcast,71.23,1.263,part1_grapevine
1371,1371,114.69,21.68,Moderate Fog/Overcast,47.72,-4.006,part1_grapevine
1376,1376,102.64,32.86,Clear,62.03,-5.934,part1_grapevine
1381,1381,113.11,28.0,Clear,43.33,-1.543,part1_grapevine
1386,1386,113.89,21.87,Moderate Fog/Overcast,52.32,6.987,part1_grapevine
1391,1391,114.17,19.47,Moderate Fog/Overcast,40.94,-4.102,part1_grapevine
1396,1396,112.76,23.81,Moderate Fog/Overcast,233.0,-9.413,part1_grapevine
1401,1401,113.78,17.89,Moderate Fog/Overcast,51.03,-0.633,part1_grapevine
1406,1406,112.96,18.79,Moderate Fog/Overcast,25.16,-1.691,part1_grapevine
1411,1411,113.61,17.67,Moderate Fog/Overcast,25.81,-1.306,part1_grapevine
1416,1416,112.87,20.96,Moderate Fog/Overcast,35.03,-5.897,part1_grapevine
1421,1421,115.86,19.88,Moderate Fog/Overcast,39.07,-6.089,part1_grapevine
1426,1426,113.72,24.1,Moderate Fog/Overcast,46.68,5.07,part1_grapevine
1431,1431,114.18,19.51,Moderate Fog/Overcast,101.3,0.375,part1_grapevine
1436,1436,114.3,19.39,Moderate Fog/Overcast,28.07,-1.314,part1_grapevine
1441,1441,113.43,20.13,Moderate Fog/Overcast,22.19,-0.457,part1_grapevine
1446,1446,117.88,28.37,Clear,54.88,-8.434,part1_grapevine
1451,1451,115.28,14.25,Heavy Fog,43.37,2.326,part1_grapevine
1456,1456,113.24,16.74,Moderate Fog/Overcast,23.77,-0.593,part1_grapevine
1461,1461,113.59,18.6,Moderate Fog/Overcast,77.84,-8.002,part1_grapevine
1466,1466,115.49,20.42,Moderate Fog/Overcast,47.91,0.065,part1_grapevine
1471,1471,115.81,26.01,Moderate Fog/Overcast,34.17,-2.766,part1_grapevine
1476,1476,113.86,28.99,Clear,104.3,9.312,part1_grapevine
1481,1481,118.33,21.09,Moderate Fog/Overcast,111.16,9.033,part1_grapevine
1486,1486,115.89,18.78,Moderate Fog/Overcast,31.83,-2.897,part1_grapevine
1491,1491,116.46,20.93,Moderate Fog/Overcast,35.13,-1.37,part1_grapevine
1496,1496,115.17,23.0,Moderate Fog/Overcast,28.0,0.695,part1_grapevine
1501,1501,111.28,28.31,Clear,140.15,-0.456,part1_grapevine
1506,1506,115.81,28.7,Clear,55.65,-0.061,part1_grapevine
1511,1511,110.31,23.88,Moderate Fog/Overcast,172.04,-11.119,part1_grapevine
1516,1516,110.77,23.7,Moderate Fog/Overcast,162.56,1.096,part1_grapevine
1521,1521,111.02,21.93,Moderate Fog/Overcast,135.53,-7.042,part1_grapevine
